city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Fayetteville,Cumberland,Thursday,20,Non-Intersection,January,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.03048685,-78.93127718,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,70+
Charlotte,Mecklenburg,Sunday,8,Non-Roadway,February,B: Suspected Minor Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.21654003,-80.83827942,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
Whiteville,Columbus,Sunday,15,Non-Intersection,February,C: Possible Injury,Backing Vehicle - Driveway / Sidewalk Intersection,Residential,O: No Injury,34.32627555,-78.71056801,C: Possible Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,30-39
Wesley Chapel,Union,Sunday,13,Non-Intersection,April,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.00108376,-80.70008864,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,40-49
Charlotte,Mecklenburg,Friday,10,Non-Roadway,April,C: Possible Injury,Backing Vehicle - Driveway,Residential,O: No Injury,35.19899766,-80.79345825,C: Possible Injury,Driveway / Alley,Private Road: Driveway,Two-Way: Not Divided,30-39
Statesville,Iredell,Thursday,19,Non-Roadway,February,C: Possible Injury,Vehicle-Vehicle / Object,Commercial,O: No Injury,35.78316179,-80.88460305,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
New Bern,Craven,Thursday,7,Non-Intersection,February,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,35.1220376,-77.08881963,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Charlotte,Mecklenburg,Tuesday,17,Non-Roadway,April,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.03629814,-80.80637984,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
Charlotte,Mecklenburg,Friday,7,Intersection,March,C: Possible Injury,Dart-Out,Commercial,O: No Injury,35.13473794,-80.93941907,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,50-59
Black Mountain,Buncombe,Thursday,12,Non-Roadway,March,C: Possible Injury,Backing Vehicle - Parking Lot,Residential,O: No Injury,35.61488665,-82.34745365,C: Possible Injury,Non-Roadway - Parking Lot / Other,Private Road: Driveway,Unknown,70+
Edenton,Chowan,Friday,17,Non-Intersection,March,B: Suspected Minor Injury,Standing in Roadway,Residential,O: No Injury,36.0685222,-76.60360922,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,70+
Kannapolis,Cabarrus,Friday,16,Non-Intersection,February,B: Suspected Minor Injury,Play Vehicle-Related,Residential,O: No Injury,35.48180614,-80.56529454,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Burlington,Alamance,Tuesday,18,Non-Intersection,January,O: No Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,36.05643339,-79.47598621,Unknown Injury,Travel Lane,NC Route,Two-Way: Not Divided,60-69
Raleigh,Wake,Tuesday,18,Non-Roadway,April,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.86647799,-78.6177816,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Archdale,Randolph,Tuesday,12,Non-Intersection,April,A: Suspected Serious Injury,Vehicle-Vehicle / Object,Residential,B: Suspected Minor Injury,35.91171082,-80.00968592,A: Suspected Serious Injury,Other / Unknown,Local Street,Two-Way: Not Divided,30-39
Greensboro,Guilford,Sunday,1,Non-Roadway,April,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.08668817,-79.75917918,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Aberdeen,Moore,Tuesday,7,Non-Roadway,March,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.15465361,-79.41488472,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,20-24
None - Rural Crash,Carteret,Tuesday,20,Non-Intersection,May,A: Suspected Serious Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,34.76311675,-76.56006973,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
None - Rural Crash,Haywood,Monday,15,Non-Intersection,April,K: Killed,Pedestrian Failed to Yield,Commercial,B: Suspected Minor Injury,35.53560259,-82.8163673,K: Killed,Travel Lane,US Route,Two-Way: Not Divided,20-24
Winston-Salem,Forsyth,Sunday,21,Non-Intersection,February,A: Suspected Serious Injury,Dash,Commercial,O: No Injury,36.14464988,-80.25427971,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Thomasville,Davidson,Tuesday,7,Intersection-Related,May,C: Possible Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.88707394,-80.0758851,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Winston-Salem,Forsyth,Tuesday,21,Intersection,May,O: No Injury,Motorist Turn / Merge - Other / Unknown,Commercial,Unknown Injury,36.10487699,-80.23133294,O: No Injury,Intersection Proper,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Charlotte,Mecklenburg,Sunday,21,Intersection-Related,March,B: Suspected Minor Injury,Trapped,Commercial,O: No Injury,35.24527987,-80.89310565,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,20-24
Thomasville,Davidson,Saturday,14,Intersection,March,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Behind,Residential,O: No Injury,35.92102798,-80.06383596,B: Suspected Minor Injury,Unpaved Right-of-Way,Local Street,Two-Way: Divided: Unprotected Median,40-49
Greensboro,Guilford,Tuesday,16,Intersection,March,C: Possible Injury,Motorist Right Turn on Red - Perpendicular Paths,Commercial,O: No Injury,36.08506947,-79.82124683,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,30-39
Durham,Durham,Sunday,19,Non-Roadway,May,A: Suspected Serious Injury,Motor Vehicle Loss of Control,Commercial,B: Suspected Minor Injury,35.98885429,-78.92621273,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
