city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Fayetteville,Cumberland,Tuesday,8,Non-Roadway,January,A: Suspected Serious Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.07633,-78.9661,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Graham,Alamance,Saturday,15,Non-Intersection,September,A: Suspected Serious Injury,Backing Vehicle - Driveway / Sidewalk Intersection,Residential,O: No Injury,36.07375,-79.3902,A: Suspected Serious Injury,Sidewalk / Shared Use Path / Driveway Crossing,NC Route,Two-Way: Not Divided,40-49
None - Rural Crash,Craven,Wednesday,19,Non-Intersection,December,K: Killed,Walking Along Roadway Against Traffic - From Behind,Residential,Unknown Injury,35.33768129,-77.1563942,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,25-29
None - Rural Crash,Forsyth,Saturday,20,Non-Intersection,December,C: Possible Injury,Motorist Right Turn - Perpendicular Paths,Residential,Unknown Injury,36.06934102,-80.29034527,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Cary,Wake,Saturday,19,Non-Roadway,November,A: Suspected Serious Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.75815752,-78.73498163,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
Raleigh,Wake,Wednesday,15,Non-Intersection,December,O: No Injury,Entering / Exiting Parked Vehicle,Commercial,Unknown Injury,35.76888836,-78.64859857,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
None - Rural Crash,Harnett,Saturday,12,Non-Intersection,December,C: Possible Injury,Dash,Farms: Woods: Pastures,O: No Injury,35.2562816,-78.9652982,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
Greenville,Pitt,Thursday,16,Intersection,December,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,35.60346018,-77.37138877,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Friday,12,Non-Intersection,December,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,35.2238713,-80.87194035,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,25-29
Wilmington,New Hanover,Monday,19,Intersection,December,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,34.21730482,-77.90734599,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,20-24
Durham,Durham,Sunday,9,Intersection,December,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,36.0190226,-78.94561973,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,40-49
None - Rural Crash,Jones,Thursday,19,Non-Intersection,December,C: Possible Injury,Standing in Roadway,Farms: Woods: Pastures,O: No Injury,35.01353929,-77.48528696,C: Possible Injury,Unpaved Right-of-Way,NC Route,Two-Way: Not Divided,50-59
Garner,Wake,Saturday,12,Non-Roadway,December,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.6913166,-78.57918151,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
Raleigh,Wake,Wednesday,17,Non-Intersection,December,A: Suspected Serious Injury,Commercial Bus-Related,Residential,O: No Injury,35.86826514,-78.63882445,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,70+
Fayetteville,Cumberland,Saturday,16,Non-Intersection,July,O: No Injury,Pedestrian Failed to Yield,Commercial,Unknown Injury,35.04317903,-78.95639298,O: No Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Fayetteville,Cumberland,Saturday,11,Non-Roadway,November,Unknown Injury,Driverless Vehicle,Residential,Unknown Injury,35.04172895,-78.9800295,Unknown Injury,Driveway / Alley,Private Road: Driveway,Unknown,Unknown
Sylva,Jackson,Thursday,17,Non-Intersection,October,C: Possible Injury,Motorist Failed to Yield,Commercial,O: No Injury,35.37385696,-83.22023764,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,70+
Sylva,Jackson,Friday,15,Non-Roadway,October,O: No Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.3525219,-83.20200653,Unknown Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,20-24
Charlotte,Mecklenburg,Wednesday,18,Non-Intersection,January,B: Suspected Minor Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.32396697,-80.77404096,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Raleigh,Wake,Saturday,13,Non-Roadway,January,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.81982306,-78.62782545,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Rockwell,Rowan,Wednesday,7,Intersection,January,O: No Injury,Motorist Failed to Yield,Commercial,Unknown Injury,35.55813464,-80.41445434,O: No Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,Unknown
None - Rural Crash,Lincoln,Wednesday,23,Non-Roadway,January,A: Suspected Serious Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.4432166,-80.99664547,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Winston-Salem,Forsyth,Sunday,14,Non-Intersection,January,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,Unknown Injury,36.16322254,-80.31000478,C: Possible Injury,Unpaved Right-of-Way,Local Street,Two-Way: Divided: Unprotected Median,Unknown
None - Rural Crash,Cumberland,Saturday,22,Non-Intersection,January,K: Killed,Walking Along Roadway With Traffic - From Behind,Institutional,O: No Injury,35.15582813,-78.8885234,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,40-49
Greensboro,Guilford,Sunday,18,Intersection,February,C: Possible Injury,Motorist Left Turn - Parallel Paths,Institutional,Unknown Injury,36.07283452,-79.77053032,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Positive Median Barrier,Unknown
Chapel Hill,Orange,Thursday,17,Intersection,January,C: Possible Injury,Motorist Failed to Yield,Institutional,O: No Injury,35.91272028,-79.04911697,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,50-59
Roxboro,Person,Monday,18,Non-Intersection,January,C: Possible Injury,Dart-Out,Commercial,O: No Injury,36.39373899,-78.98193183,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,60-69
Shallotte,Brunswick,Tuesday,15,Non-Roadway,February,Unknown Injury,Off Roadway - Parking Lot,Commercial,Unknown Injury,33.97756824,-78.37322566,Unknown Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Asheville,Buncombe,Monday,21,Intersection-Related,February,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,Unknown Injury,35.47988813,-82.54789913,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Divided: Unprotected Median,25-29
Thomasville,Davidson,Thursday,20,Intersection-Related,February,O: No Injury,Dispute-Related,Residential,O: No Injury,35.88367839,-80.07830098,Unknown Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Greenville,Pitt,Tuesday,19,Non-Roadway,February,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.60021235,-77.33369317,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
Winston-Salem,Forsyth,Tuesday,0,Non-Roadway,February,B: Suspected Minor Injury,Off Roadway - Other / Unknown,Residential,O: No Injury,36.07074264,-80.25750418,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Kannapolis,Cabarrus,Sunday,15,Intersection,February,O: No Injury,Dash,Residential,O: No Injury,35.50742504,-80.64495622,O: No Injury,Travel Lane,Local Street,Unknown,50-59
None - Rural Crash,Brunswick,Thursday,18,Non-Intersection,March,K: Killed,Walking Along Roadway With Traffic - From Behind,Residential,C: Possible Injury,33.95070668,-78.37055621,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
Durham,Durham,Saturday,10,Non-Roadway,March,C: Possible Injury,Off Roadway - Parking Lot,Commercial,Unknown Injury,36.0501437,-78.90401642,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Winston-Salem,Forsyth,Saturday,22,Non-Intersection,March,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,36.07940489,-80.33415393,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Greensboro,Guilford,Monday,14,Intersection,March,B: Suspected Minor Injury,Motorist Failed to Yield,Residential,O: No Injury,36.07443285,-79.82788274,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,60-69
Greensboro,Guilford,Thursday,18,Non-Roadway,March,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.05705897,-79.89902944,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Greensboro,Guilford,Tuesday,17,Non-Intersection,March,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,36.09759833,-79.74489091,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Apex,Wake,Friday,13,Non-Roadway,March,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.74746908,-78.82838691,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Durham,Durham,Thursday,20,Intersection,March,O: No Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.99455422,-78.86902026,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Durham,Durham,Monday,7,Non-Intersection,March,B: Suspected Minor Injury,Working in Roadway,Institutional,O: No Injury,35.96791624,-78.94396065,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Wilmington,New Hanover,Wednesday,19,Non-Roadway,March,B: Suspected Minor Injury,Play Vehicle-Related,Commercial,O: No Injury,34.21483374,-77.94355876,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Greenville,Pitt,Saturday,16,Intersection-Related,March,C: Possible Injury,Dash,Residential,O: No Injury,35.5793242,-77.38999441,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Wilkes,Monday,5,Non-Intersection,March,A: Suspected Serious Injury,Walking Along Roadway With Traffic - From Behind,Commercial,O: No Injury,36.27550824,-80.9041851,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,40-49
Greensboro,Guilford,Wednesday,17,Intersection,April,C: Possible Injury,Motorist Right Turn on Red - Perpendicular Paths,Residential,O: No Injury,36.1226236,-79.81578812,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Harnett,Sunday,13,Non-Roadway,March,B: Suspected Minor Injury,Vehicle-Vehicle / Object,Farms: Woods: Pastures,O: No Injury,35.56237311,-78.86252165,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
Wilmington,New Hanover,Monday,11,Non-Roadway,April,A: Suspected Serious Injury,Backing Vehicle - Driveway,Residential,O: No Injury,34.21834522,-77.85080081,A: Suspected Serious Injury,Driveway / Alley,Private Road: Driveway,One-Way: Not Divided,60-69
Sanford,Lee,Tuesday,14,Intersection,March,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.47848568,-79.18309475,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Buncombe,Friday,5,Non-Intersection,April,B: Suspected Minor Injury,Disabled Vehicle-Related,Farms: Woods: Pastures,O: No Injury,35.48728362,-82.56211967,B: Suspected Minor Injury,Paved Shoulder / Bike Lane / Parking Lane,Interstate,Two-Way: Divided: Positive Median Barrier,20-24
Charlotte,Mecklenburg,Saturday,1,Intersection,April,K: Killed,Pedestrian Failed to Yield,Commercial,C: Possible Injury,35.26121539,-80.87692223,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,30-39
Greensboro,Guilford,Saturday,22,Non-Intersection,April,A: Suspected Serious Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,36.1136331,-79.76494078,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,40-49
Charlotte,Mecklenburg,Thursday,15,Intersection,April,C: Possible Injury,Motorist Right Turn - Perpendicular Paths,Commercial,Unknown Injury,35.34850327,-80.85230404,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Positive Median Barrier,Unknown
Charlotte,Mecklenburg,Friday,17,Intersection,April,K: Killed,Multiple Threat,Commercial,O: No Injury,35.26586434,-80.76909158,K: Killed,Crosswalk Area,Local Street,Two-Way: Divided: Positive Median Barrier,40-49
Fayetteville,Cumberland,Monday,15,Non-Roadway,April,O: No Injury,Driverless Vehicle,Commercial,Unknown Injury,35.07408144,-78.92883827,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
None - Rural Crash,Carteret,Tuesday,14,Non-Roadway,April,B: Suspected Minor Injury,Backing Vehicle - Driveway,Residential,O: No Injury,34.79695891,-76.87404525,B: Suspected Minor Injury,Driveway / Alley,Private Road: Driveway,One-Way: Not Divided,20-24
Charlotte,Mecklenburg,Monday,13,Intersection,April,C: Possible Injury,Motorist Right Turn - Parallel Paths,Commercial,O: No Injury,35.26835336,-80.85422566,C: Possible Injury,Intersection Proper,Local Street,Two-Way: Not Divided,20-24
Oak Island,Brunswick,Thursday,13,Intersection-Related,April,C: Possible Injury,Backing Vehicle - Roadway,Commercial,O: No Injury,33.908974,-78.07875329,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Raleigh,Wake,Wednesday,20,Non-Intersection,May,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,Unknown Injury,35.89051888,-78.69829152,C: Possible Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,Unknown
Charlotte,Mecklenburg,Thursday,21,Intersection,May,B: Suspected Minor Injury,Motorist Failed to Yield,Residential,O: No Injury,35.24302454,-80.78756041,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,40-49
Charlotte,Mecklenburg,Thursday,20,Non-Roadway,May,C: Possible Injury,Dispute-Related,Residential,O: No Injury,35.22086449,-80.73363659,C: Possible Injury,Driveway / Alley,Local Street,Two-Way: Not Divided,20-24
Greensboro,Guilford,Thursday,16,Intersection,May,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,36.08200905,-79.77855395,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,70+
Asheboro,Randolph,Saturday,3,Non-Roadway,May,C: Possible Injury,Dispute-Related,Commercial,O: No Injury,35.7006049,-79.78379569,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
None - Rural Crash,Cumberland,Wednesday,11,Intersection,May,B: Suspected Minor Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,34.98747487,-78.90679489,B: Suspected Minor Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,40-49
Charlotte,Mecklenburg,Tuesday,20,Intersection-Related,May,O: No Injury,Motorist Right Turn - Perpendicular Paths,Commercial,O: No Injury,35.33994294,-80.76502647,O: No Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,25-29
Asheville,Buncombe,Friday,17,Intersection,May,O: No Injury,Motorist Turn / Merge - Other / Unknown,Commercial,O: No Injury,35.541873,-82.532516,Unknown Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,50-59
Durham,Durham,Tuesday,14,Non-Intersection,May,C: Possible Injury,Motorist Exiting Driveway or Alley,Commercial,O: No Injury,36.04611583,-78.90203576,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Salisbury,Rowan,Tuesday,12,Non-Roadway,June,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.65342361,-80.45972373,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Locust,Stanly,Thursday,8,Non-Intersection,May,A: Suspected Serious Injury,Disabled Vehicle-Related,Commercial,Unknown Injury,35.25453591,-80.45225703,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Charlotte,Mecklenburg,Wednesday,21,Intersection,June,B: Suspected Minor Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.24038505,-80.91955845,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Divided: Positive Median Barrier,40-49
Raleigh,Wake,Monday,21,Non-Roadway,June,A: Suspected Serious Injury,Backing Vehicle - Parking Lot,Residential,O: No Injury,35.77611209,-78.73412938,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
Winston-Salem,Forsyth,Sunday,11,Non-Roadway,June,C: Possible Injury,Backing Vehicle - Parking Lot,Residential,O: No Injury,36.10838059,-80.19167682,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Tarboro,Edgecombe,Thursday,15,Non-Intersection,June,O: No Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.90707213,-77.5447373,Unknown Injury,Paved Shoulder / Bike Lane / Parking Lane,Local Street,Two-Way: Not Divided,60-69
Hickory,Catawba,Friday,15,Non-Roadway,June,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.70171445,-81.28384899,O: No Injury,Non-Roadway - Parking Lot / Other,US Route,Two-Way: Not Divided,25-29
Greenville,Pitt,Sunday,17,Intersection-Related,June,C: Possible Injury,Walking Along Roadway Against Traffic - From Front,Residential,Unknown Injury,35.57338114,-77.41088689,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Greensboro,Guilford,Saturday,15,Intersection-Related,June,B: Suspected Minor Injury,Dispute-Related,Commercial,O: No Injury,36.08507704,-79.75663267,B: Suspected Minor Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,Two-Way: Not Divided,30-39
Raleigh,Wake,Monday,0,Non-Intersection,June,C: Possible Injury,Motorist Exiting Driveway or Alley,Residential,Unknown Injury,35.83559762,-78.61481372,C: Possible Injury,Sidewalk / Shared Use Path / Driveway Crossing,Public Vehicular Area,Two-Way: Divided: Unprotected Median,Unknown
Wilmington,New Hanover,Sunday,19,Non-Roadway,June,B: Suspected Minor Injury,Dispute-Related,Commercial,O: No Injury,34.21739531,-77.90592893,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
Gastonia,Gaston,Sunday,3,Non-Intersection,July,K: Killed,Pedestrian Failed to Yield,Commercial,O: No Injury,35.25670085,-81.24047093,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,0-19
High Point,Guilford,Tuesday,18,Non-Intersection,July,B: Suspected Minor Injury,Motorist Exiting Driveway or Alley,Residential,O: No Injury,36.02710844,-79.96393196,B: Suspected Minor Injury,Crosswalk Area,Local Street,Unknown,40-49
None - Rural Crash,Currituck,Thursday,5,Non-Roadway,July,A: Suspected Serious Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.55007256,-76.19307314,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
Ayden,Pitt,Monday,17,Non-Roadway,July,O: No Injury,Pedestrian Loss of Control,Commercial,O: No Injury,35.47509956,-77.43580901,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
None - Rural Crash,Sampson,Sunday,18,Non-Roadway,July,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.26411084,-78.57269482,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Williamston,Martin,Saturday,22,Intersection,June,B: Suspected Minor Injury,Walking in Roadway,Commercial,O: No Injury,35.84502367,-77.05152717,B: Suspected Minor Injury,Intersection Proper,Local Street,Two-Way: Divided: Positive Median Barrier,25-29
Winston-Salem,Forsyth,Tuesday,14,Intersection,July,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,36.1000046,-80.24439489,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,20-24
None - Rural Crash,Wake,Sunday,21,Intersection-Related,July,A: Suspected Serious Injury,Standing in Roadway,Farms: Woods: Pastures,O: No Injury,35.88828617,-78.47913928,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,30-39
Kinston,Lenoir,Friday,20,Intersection,July,C: Possible Injury,Playing in Roadway,Residential,O: No Injury,35.26266003,-77.56904505,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Greensboro,Guilford,Saturday,14,Intersection,July,A: Suspected Serious Injury,Assault with Vehicle,Residential,Unknown Injury,36.04820593,-79.81884647,A: Suspected Serious Injury,Intersection Proper,Local Street,Two-Way: Not Divided,Unknown
None - Rural Crash,Forsyth,Tuesday,9,Intersection-Related,July,B: Suspected Minor Injury,Standing in Roadway,Residential,O: No Injury,36.04530291,-80.05806222,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,0-19
Raleigh,Wake,Wednesday,18,Non-Intersection,August,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,B: Suspected Minor Injury,35.74841097,-78.64412479,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Burlington,Alamance,Saturday,10,Non-Roadway,August,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.09368098,-79.44026449,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Thomasville,Davidson,Friday,23,Non-Intersection,August,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Residential,Unknown Injury,35.87507227,-80.06622939,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Greensboro,Guilford,Tuesday,20,Non-Roadway,August,C: Possible Injury,Off Roadway - Parking Lot,Residential,O: No Injury,36.03894484,-79.76769388,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Wednesday,13,Intersection,August,B: Suspected Minor Injury,Play Vehicle-Related,Commercial,O: No Injury,35.23248204,-80.83545333,B: Suspected Minor Injury,Crosswalk Area,Local Street,One-Way: Not Divided,30-39
Pineville,Mecklenburg,Friday,17,Intersection-Related,August,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.09373386,-80.86805647,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Selma,Johnston,Thursday,18,Intersection-Related,August,A: Suspected Serious Injury,Dispute-Related,Residential,O: No Injury,35.53803312,-78.27633619,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Greensboro,Guilford,Sunday,20,Non-Roadway,August,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,C: Possible Injury,36.05696286,-79.90104242,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Asheville,Buncombe,Thursday,13,Intersection,July,Unknown Injury,Motorist Left Turn - Parallel Paths,Commercial,Unknown Injury,35.53330257,-82.60404946,Unknown Injury,Travel Lane,NC Route,Two-Way: Not Divided,Unknown
Albemarle,Stanly,Friday,1,Non-Roadway,August,C: Possible Injury,Off Roadway - Other / Unknown,Residential,Unknown Injury,35.34561056,-80.18129896,C: Possible Injury,Driveway / Alley,Private Road: Driveway,One-Way: Not Divided,Unknown
Raleigh,Wake,Wednesday,12,Non-Intersection,August,B: Suspected Minor Injury,Vehicle-Vehicle / Object,Commercial,C: Possible Injury,35.77489072,-78.6366759,B: Suspected Minor Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,One-Way: Not Divided,25-29
Charlotte,Mecklenburg,Saturday,20,Non-Intersection,September,B: Suspected Minor Injury,Dash,Residential,O: No Injury,35.14390978,-80.741562,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Sanford,Lee,Saturday,22,Non-Intersection,September,K: Killed,Walking Along Roadway With Traffic - From Behind,Industrial,O: No Injury,35.45968236,-79.11336666,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,40-49
Louisburg,Franklin,Sunday,0,Non-Roadway,September,B: Suspected Minor Injury,Assault with Vehicle,Residential,Unknown Injury,36.08856529,-78.30619992,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,20-24
Greenville,Pitt,Wednesday,17,Non-Intersection,September,C: Possible Injury,Motorist Exiting Driveway or Alley,Commercial,O: No Injury,35.58121078,-77.36541041,C: Possible Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,Two-Way: Not Divided,50-59
Fayetteville,Cumberland,Tuesday,11,Non-Roadway,September,O: No Injury,Motor Vehicle Loss of Control,Commercial,O: No Injury,35.00955962,-78.96361738,Unknown Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,70+
Charlotte,Mecklenburg,Wednesday,19,Non-Roadway,October,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.20319807,-80.74905569,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Divided: Positive Median Barrier,30-39
None - Rural Crash,Harnett,Saturday,22,Non-Intersection,September,K: Killed,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,35.3695019,-78.70652619,K: Killed,Travel Lane,US Route,Two-Way: Divided: Unprotected Median,0-19
Charlotte,Mecklenburg,Thursday,19,Non-Intersection,October,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.19199537,-80.79584262,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Durham,Durham,Wednesday,17,Intersection-Related,October,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.944354,-78.87493161,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
High Point,Guilford,Monday,8,Intersection,October,B: Suspected Minor Injury,Multiple Threat,Commercial,O: No Injury,35.97165645,-80.01653137,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,30-39
Charlotte,Mecklenburg,Thursday,19,Non-Intersection,October,B: Suspected Minor Injury,Dash,Residential,O: No Injury,35.24743394,-80.94603741,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Smithfield,Johnston,Saturday,22,Non-Intersection,October,A: Suspected Serious Injury,Non-Intersection - Other / Unknown,Commercial,O: No Injury,35.5171421,-78.29551088,A: Suspected Serious Injury,Travel Lane,Local Street,One-Way: Not Divided,0-19
Greensboro,Guilford,Thursday,12,Intersection,October,C: Possible Injury,Motorist Left Turn - Parallel Paths,Institutional,O: No Injury,36.06858493,-79.81509626,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,20-24
